FirstName,Phone,Notes
John,+1234567890,Important client - needs follow up
Jane,+1987654321,New customer inquiry
Bob,+1555123456,Existing customer
Alice,+1444789012,Potential lead
Charlie,+1333456789,Referral from John
Diana,+1222345678,High priority contact
Eve,+1111234567,Marketing campaign lead
Frank,+1999876543,Product demo scheduled
Grace,+1888765432,Contract renewal due
Henry,+1777654321,Technical support needed
Ivy,+1666543210,Billing inquiry
Jack,+1555432109,Partnership opportunity
Kate,+1444321098,Event attendee
Liam,+1333210987,Social media lead
Mia,+1222109876,Newsletter subscriber
Noah,+1111098765,Webinar participant
Olivia,+1999987654,Trade show contact
Paul,+1888876543,Cold outreach prospect
Quinn,+1777765432,Referral partner
Ruby,+1666654321,Customer feedback
Sam,+1555543210,Product inquiry
Tina,+1444432109,Service request
Uma,+1333321098,Complaint resolution
Victor,+1222210987,Upgrade consultation
Wendy,+1111109876,Training session attendee
